GENE_ID	Gene_Name	Synonyms	Gene_products	UniProt_ID	2vs0	4vs0	8vs0	10vs0	tt_dev$adj.P.Val	wt_0h_a	wt_0h_b	wt_0h_c	wt_2h_a	wt_2h_b	wt_2h_c	wt_4h_a	wt_4h_b	wt_4h_c	wt_8h_a	wt_8h_b	wt_8h_c	wt_10h_a	wt_10h_b	wt_10h_c
DDB_G0293086	copZb	NA	coatomer protein complex zeta subunit	Q54CA7	 0.116499173589139	 0.25162649112	 0.6087183727	  0.76158036120	0.0327619491344471	   14.2289022	    7.0584338	    8.8968225	    7.1599749	   10.1284477	    9.7892380	    5.3399482	    7.8734543	   10.4466754	    8.7183986	    3.4276627	   10.6637570	    4.3811661	    6.7664576	    7.0997118
DDB_G0271724	DDB_G0271724	NA	RRP15-like protein	Q75JE2	-0.090546221870996	-0.17441450149	-1.0250988753	 -2.06541672649	0.032846585299509	  159.2927413	  172.5297853	  160.9844628	  161.2991934	  149.7248554	  183.0202516	  222.1600308	  153.9490131	  173.7981334	  218.3894491	  162.7272712	  211.0424263	  166.6551168	  201.8581243	  198.9110763
DDB_G0279175	hspc300	brick1, brk1	SCAR regulatory complex subunit HSPC300	Q54X65	 1.674138126610338	-0.19255139558	 3.2003364461	  1.31462787970	0.0329374385365108	   11.8107004	   10.6279682	   13.5756436	    8.4931068	   13.6971233	    8.8648219	   13.3305687	   13.8039167	    9.5791549	   14.9143468	    8.9481886	   12.6220840	    5.4565249	   15.4847415	   13.7205750
DDB_G0273067	dscD-1	dscD, discoidin I, D chain	discoidin I, delta chain	P02888	 0.027253418095072	 0.25646846395	 0.7351672132	  0.63956944846	0.032961123293724	 1777.3694743	 1874.6061955	 1778.3537192	 1689.3560850	 1675.9895955	 1248.3945886	 1379.9692044	 1578.7735925	 1503.4267718	 1327.6614087	 1383.6533028	 1347.8166819	 1344.5011379	 1126.1141706	 1369.4927487
DDB_G0278741	adprt1A	PARP1, pARTa	Poly [ADP-ribose] polymerase 1A	Q54XI2	 0.161614981931438	 0.17340084070	 0.1369276015	 -0.12617455755	0.0330155999336778	   94.4926973	   92.6949307	   92.6100995	   87.1056020	   70.7874175	   67.3226504	   83.4658578	   85.2391261	   78.1764525	   48.2068634	   60.5997293	   64.2427260	   38.6157334	   56.3801486	   57.2741310
DDB_G0274211	DDB_G0274211	NA	Ras GTPase activation domain-containing protein	Q8SSU4	-1.491553055871998	-0.49798810977	 1.0970439900	  1.11103120336	0.0330407769451962	    8.1440977	    7.8759476	    7.4819595	    9.9741577	   11.5710542	   17.3195979	   18.8059487	   14.3965838	    7.8245258	   24.5984794	   22.8469577	   18.8896206	   11.9828825	   10.8264995	   11.3958246
DDB_G0270664	DDB_G0270664	NA	UPF0557 family protein	Q55CZ6	 0.515140735329103	 0.06233476306	-0.6794491015	 -0.77521852191	0.0330981369825989	  748.2349710	  722.2726232	  777.1418030	  685.2101173	  725.9205109	 1114.6660035	  866.7752805	  645.9605391	  602.4573248	  887.2913087	  806.4573004	  879.9745537	  751.4921827	  926.8442866	  892.9046428
DDB_G0268498	areB	FIP200	unknown	Q55GG3	 0.214283562063266	 0.18204119377	-1.2550537887	 -2.64949565463	0.0331743654032886	   21.9842175	   18.2904320	   26.4072777	   24.1414169	   20.7677036	   22.2424326	   16.0449011	   19.6311917	   22.8649115	   20.3896499	   13.4132106	   17.2382303	   13.5402357	    5.1125255	   20.8140620
DDB_G0294611	DDB_G0294611	NA	unknown	B0G167	 0.394751262749205	 0.40931541127	 0.5292704762	  0.54949268339	0.0333468185210914	   92.1384796	   86.3108624	   97.4031201	   85.7162787	   95.4673513	   96.4637489	   76.0362911	   87.4126390	   86.9857869	   78.8640963	   89.4827838	   79.5111397	   76.6609160	   53.6587488	   87.0236690
DDB_G0276939	pspB	psB, 14E6, 14E-6, prespore protein	spore coat protein SP85	P54704	 0.967136092777205	 0.84606700236	 3.0533607559	  3.41970929247	0.0333550543629873	  123.4422069	  121.4435666	  125.4751029	  122.6744193	  139.3585070	  135.3346594	  135.2986219	  126.7573336	  138.9196197	   93.5986519	   91.6681840	  107.3550456	   64.3569528	  100.3108465	   83.9785811
DDB_G0287991	DDB_G0287991	NA	NA	Q54JK5	-0.007113191171596	-0.21594617364	-0.4381299640	 -0.39089002922	0.0334731138851582	    3.8722164	   61.7964401	   75.8280581	   86.5756558	   81.9818300	   81.8272796	   83.9886284	    2.7472491	   85.2560177	   91.8981363	   94.2668703	   71.4589315	   98.2366285	    3.0377459	  101.7407531
DDB_G0276441	rpl7	NA	S60 ribosomal protein L7	P11874	-0.081415186042205	-0.08761859092	-0.2459066572	 -0.39211290170	0.0335257446678056	    3.2842663	    2.3980120	    6.0459252	    1.9616659	    1.8863570	    3.5348922	    2.5479484	    3.1211631	    3.3719138	    3.3468220	    2.4334471	    1.4963030	    1.9024626	    2.2798662	    2.6039371
DDB_G0272869	sun1	DdSUN1, Sun-1	SUN domain-containing protein 1	Q558Z2	-0.088554862860294	 0.28963485163	 0.9369512523	  0.87297135856	0.0336335925018635	   19.0417653	   19.5125762	   22.3286845	   21.8618245	   19.1512116	   14.2900378	   14.3880475	   22.2473351	   15.2578080	   11.6158743	   13.8853494	   14.7032552	   10.3023220	   12.4760086	   11.0996016
DDB_G0270922	DDB_G0270922	NA	NA	Q55DB9	-1.501304004248333	-0.61906474660	-2.4300361233	 -3.20097197359	0.033735492700226	   91.3161489	   87.6281298	   88.2479533	   92.5798915	   98.3054599	  108.1447781	   96.7438866	   89.4316417	   94.7250204	   97.8152838	   99.0866053	   92.9695744	   90.1329990	   76.5333691	   87.6663458
DDB_G0275701	vatE	V-ATPase subunit E	vacuolar ATPase subunit E	O00780	 0.122959795451438	 0.16353557687	-0.1944164355	 -0.37134212959	0.033735492700226	  139.0431046	  115.7273359	   92.4416674	  102.6387666	  113.1145684	   93.5458556	   94.6033973	   96.4503699	  107.5324568	   96.4101545	  109.6855537	  113.4299084	   82.8817158	  110.0921232	   88.9108958
DDB_G0288511	sadA	NA	substrate adhesion molecule	Q8I7T3	 0.068377549458068	-0.04176809192	-0.8276109616	 -2.22942733800	0.0338276293334783	   10.7272776	   13.2361044	    2.9229290	    2.8503654	   11.0812354	    6.0989309	    2.2967627	   12.6680492	   12.7618812	    1.8004652	    2.8971378	   10.7933362	    6.4760472	   10.9875077	    7.7746227
DDB_G0279951	DDB_G0279951	NA	AhpC/TSA family protein	Q54W30	 0.827361134463674	 1.21277456761	 1.8690212513	  2.31207992544	0.0338905321902584	   14.6455252	   12.2316514	   13.9920758	   13.9746038	   16.0215486	   10.7504258	   15.1543330	   11.6053146	   14.9388491	   11.5060730	   11.5599468	   14.1715129	    6.6326787	   17.1881969	   10.5414674
DDB_G0268038	mtpn	V-1	myotrophin family protein	Q55FM5	 0.241962249098144	 0.38981397992	 0.5719847222	  0.41191641748	0.0339334256538593	 3647.0737958	 3314.1655685	 3127.3388265	 3728.5794944	 3218.2159749	 2325.6510385	 3423.6008263	 3407.8122732	 2811.5534999	 3025.4560056	 2741.8362007	 2967.7435040	 3009.0241654	 3672.6954274	 2605.1255373
DDB_G0279047	DDB_G0279047	NA	unknown	Q54XC4	 0.790334247894771	 0.58402706983	 1.0563630213	  1.10981200644	0.0339334256538593	   41.2792313	   39.3765139	   24.6654508	   11.0374955	   16.9999645	   10.4975553	    1.8199529	   27.1440092	   29.2598949	    1.5201762	    4.3390627	   12.9648008	    1.7032452	    3.4400850	   11.6319463
DDB_G0284863	limB	lim2, paxA	LIM-type zinc finger-containing protein B	Q54NW4	-0.341379918844130	-0.18375467471	 0.2526537478	  0.35233448473	0.0339334256538593	   68.6756356	   61.8597353	   79.3502003	   61.8020611	   72.6303922	   62.3474264	   64.1989153	   73.1157536	   62.6609470	   70.3697914	   62.1333746	   69.0045264	   76.2764894	   78.8581622	   73.4994853
DDB_G0293084	zizB	GEF, zizimin B, Rac GEF ZizB	Ras guanine nucleotide exchange factor ZizB	Q54CA8	 0.096629108849603	 0.17403610222	 0.5245393969	  0.69465925219	0.0339334256538593	  635.9944047	  519.5609956	  472.0548635	  440.1463320	  471.2595832	  514.3568859	  608.9270739	  514.2562642	  498.2046218	  657.2819063	  586.1387105	  607.7270379	  512.8753169	  264.6465416	  739.9891046
DDB_G0275471	csn8	NA	COP9 signalosome complex subunit 8	Q75K24	 0.102886281044837	 0.22902590004	 0.3695145627	  0.13273672556	0.0341604789370425	  140.2416055	  109.3446024	  105.8425729	   89.8544333	  110.1387661	  114.4558788	   99.6195389	  118.7713270	  109.2054184	   99.3117660	  121.3769411	  103.3393027	  126.0752316	  105.2912952	  103.8457617
DDB_G0281337	rab14	rab4, rabD	Rab GTPase 14	P36410	 0.216930070948404	 0.25381520221	 0.3434946902	  0.33098557046	0.0342559165336509	  216.0545103	  213.1459583	  213.1165014	  214.7647763	  243.4286424	  283.8588008	  276.6135889	  239.3612372	  241.7200474	  227.3565233	  229.2066303	  264.5149560	  183.9745477	  260.3109265	  251.7243911
DDB_G0272346	mcfQ	NA	mitochondrial substrate carrier family protein Q	Q76P23	 0.113341963680545	 0.20151526050	-0.0629818742	 -0.46227204292	0.0342559165336509	    2.9985239	    1.2302568	    2.3659802	    2.3789844	    3.4399324	    7.4615743	    3.1892642	    2.8799865	    4.8296346	    2.9805327	    2.4116032	    2.1324858	    2.3486227	    2.9328755	    2.0093444
DDB_G0274805	ibrA	mimd, IBARa	inverse Bin/Amphiphysin/Rvs protein IBARa	C7FZZ0	-0.171776890422301	-0.22023843319	-0.2557015167	 -0.38958055804	0.0344264129788931	  452.5992716	  438.6069755	  447.6264135	  436.0303302	  409.2854404	  465.6922039	  505.5566372	  440.2627471	  480.3464883	  438.4627962	  415.2355447	  459.4190322	  272.8183816	  473.3287543	  382.5174735
DDB_G0290179	ube3a	NA	ubiquitin-protein ligase E3A	Q54GG5	-0.156958027923061	 0.12219655997	-1.3338834304	 -0.17308942976	0.0344264129788931	   25.2429972	   25.2401618	   23.8769187	   25.4699073	   26.2271471	   25.9121975	   20.6814426	   24.9539273	   21.4554917	   23.7524782	   23.3770517	   24.5236678	   17.1841082	   25.3325630	   16.7006840
DDB_G0288159	DDB_G0288159	NA	NA	Q54JB9	-0.073580348511901	 0.03407933137	 1.0936086960	  1.96192091814	0.0344530161163217	  288.1802194	  299.0789073	  430.4196135	  398.8025599	  394.4383030	  392.4759264	  315.0112265	  436.0657224	  406.9369584	  466.9634062	  406.0539284	  423.6450487	  592.6102066	  558.6007890	  492.8343453
DDB_G0288679	myoE	myoIE, DMIE, myosin-1E, myosin IE	myosin IE heavy chain	Q03479	 0.029963370378939	 0.00809318847	-0.1202188930	 -0.34598296823	0.0345172476950379	   84.7639876	   88.1332559	   99.6776327	   94.9853936	  103.3820339	  104.0564457	   86.4584916	   95.5798548	   95.1585761	  114.6699921	  117.8225308	  103.1779308	  126.6297093	  107.6217621	  119.9124156
DDB_G0288483	pgmA	veg142, rcdE	phosphoglucomutase A	Q23919	-0.009133363420668	 0.12493238379	 0.2914209056	  0.26318236708	0.0347940916980042	   76.6607048	   79.1141659	   45.5039328	   44.2867663	   73.1328873	  163.6654060	  130.2231523	   46.4589144	   22.8302543	   88.4435818	   99.2503338	   96.1504475	   55.9910230	  122.1757479	   86.2437091
DDB_G0281385	rasC	NA	Ras GTPase RasC	P32253	 0.207570808273168	 0.35062027289	 0.5707458717	  0.52043008631	0.0347940916980042	   22.0661928	   18.4666449	   31.0481659	   24.8666027	   21.6424403	   21.5588127	   22.2104034	   18.6101152	   18.5330807	   19.3274230	   13.1814175	    1.8521614	   22.9794542	    9.1144833	   14.0825041
DDB_G0292016	DDB_G0292016	NA	von Willebrand factor A domain-containing protein 5A	Q54DV3	 0.584147873225410	 1.06260843927	 0.8304367128	  0.62997518915	0.03493933020471	 4870.0584553	 4781.3771397	 4556.6286157	 4695.5249679	 4785.6791719	 4393.8953869	 4733.1578717	 4734.0493272	 4369.4946792	 4556.7829538	 4905.6430136	 4581.5936791	 4527.8131993	 4938.9568295	 4689.9159303
DDB_G0287199	5NT	NA	5'-nucleotidase	Q54KR8	-0.396697611420628	-0.31854564252	-0.1270432100	  1.60010877157	0.03493933020471	   81.6050008	   77.1656148	   75.4920457	   86.0930929	   78.9296577	   71.1704240	   89.9402348	   83.2211728	   80.2963400	   95.3411117	   77.1624702	   85.1516453	   74.9723322	   97.5497300	   75.2007501
DDB_G0277669	DDB_G0277669	NA	aldose 1-epimerase family protein	Q54ZC6	 0.021154975393476	 0.18674722024	 0.5240373553	  0.52031911365	0.0350403884013025	   33.5020394	   27.6872731	   35.8378251	   33.3909361	   33.2087730	   30.2982803	   28.8615039	   35.5587988	   36.5353692	   31.3432153	   38.3197502	   34.7416672	   18.8036458	   31.4361869	   24.6899792
DDB_G0278063	DDB_G0278063	NA	peptidase S16, Lon protease family protein	Q54YV4	 0.071705663437801	 0.23217382457	 0.6098858048	  0.56976134113	0.0350556267050037	   67.1378977	   78.4297965	   54.9137954	   77.2478703	   75.0491824	   78.9108789	   98.5174246	   97.2371063	   90.3891449	   93.2685194	  101.3624133	   92.1358642	   81.2427009	  107.2985448	   86.4953683
DDB_G0269344	DDB_G0269344	NA	WD40 repeat-containing protein	Q55E90	-0.115710305300465	-0.28635070727	-0.4788036329	 -0.53746820820	0.0351229967199062	   34.5803977	   30.8715689	   38.0360495	   37.4018710	   41.6101604	   36.1918240	   34.4961062	   41.4871952	   44.0260034	   33.9675599	   40.0206403	   35.6199978	   23.1821968	   35.8574997	   30.8236104
DDB_G0288521	DDB_G0288521	ALDH	aldehyde dehydrogenase, putative NAD-dependent aldehyde dehydrogenase	Q54IU0	 0.019717203990007	 0.17725709317	-0.0515320785	 -0.24660026616	0.0351229967199062	    2.5837572	    1.8180366	    2.8953563	    1.5051714	    2.6703878	    1.8217829	    2.2991331	    3.0392601	    2.3610726	   52.0698314	   45.2157330	   31.8935021	   99.8551208	   54.8020675	   58.1878179
DDB_G0290659	sdrA	SDR1	short-chain dehydrogenase/reductase (SDR) family protein	Q54FW2	 0.045260540540468	 0.00075189913	-0.1190436809	 -0.52104822678	0.0353126896901678	  199.1577507	  252.7676081	  247.1451267	  203.9081645	  210.1882247	  220.2393828	  289.1289153	  234.6500678	  220.8124810	  260.3126336	  277.5286997	  267.7224121	  231.7400382	  345.6993395	  228.1139028
DDB_G0278031	DDB_G0278031	NA	CRAL/TRIO domain-containing protein	Q54YX3	 1.494010359103703	 2.23609265672	 1.5286285678	  1.39865608660	0.0356234678386925	    2.7794970	   12.9482185	   12.4418846	    2.7942700	   12.0694616	    3.1323802	   10.3044538	   12.6160744	   11.4601960	    7.4974833	    2.6449438	   12.5069649	    2.5021329	   19.4732633	    2.5707913
DDB_G0285363	DDB_G0285363	NA	NA	Q54NB3	-0.030770545855362	-0.37218326876	 1.0065040864	  0.82753902912	0.0357682402626434	   28.9978885	   27.6908085	   29.9235759	   23.7396146	   27.4683110	   25.6171263	   22.7902873	   27.4482537	   25.9813137	   26.9464458	   20.5704539	   23.7065051	   27.4578754	   28.2833370	   30.7510756
DDB_G0277273	phg1B	sigC	TM9 protein B	Q54ZW0	-0.376961164064468	-0.33892469150	 0.1225132438	  0.27891691165	0.0358355540588625	   18.3361491	   23.2340065	    2.8593049	   13.7565743	   15.1259787	   51.8974025	   24.9409587	   36.7760792	    2.1856747	    6.8953883	   11.8268480	   28.9794859	   28.3617652	   17.2764162	   16.2800104
DDB_G0274029	ptcJ-2	ptcJ	pentatricopeptide repeat-containing protein J	Q556I5	-0.228339940600092	-0.48745938587	-1.1517578690	 -2.13588227881	0.0362791024519951	   50.9418269	   46.7028042	   47.9371375	   43.3321830	   55.5969642	   50.3469623	   51.7655677	   47.7989456	   46.1652510	   49.6935261	   44.7897733	   41.4087621	   39.2737982	   47.7443821	   41.1984934
DDB_G0285503	dynB	Ddp50, DCTN2, p50	dynactin 50 kDa subunit, dynamitin	Q54N50	-0.004104072391666	 0.21970945751	 0.3174304700	  0.31976816314	0.0363239200347255	   19.0129136	   16.5694119	   18.6409009	   14.7015571	   15.3844738	   16.8097129	   16.0201076	   17.6520861	   16.4326986	   18.4163017	   17.2184882	   13.5704316	   16.6708724	   21.8342508	   13.9412834
DDB_G0283793	DDB_G0283793	NA	NA	Q54QK5	-0.087347838813763	-0.29605931987	-0.7044475778	 -0.86327896369	0.0368152328673074	    2.5167294	    2.5452856	    4.5009926	    2.2817199	    3.5485828	    2.3181939	    2.7454819	    2.6934358	    2.9028920	   55.9012701	    2.0153898	   13.4482118	   63.9718830	   49.4269034	   57.3380723
DDB_G0294072	mrps7	rps7	ribosomal protein S7, ribosomal protein S7, mitochondrial	Q23887	-0.119782176511635	-0.25921154228	-0.5719350466	 -1.00781493090	0.0368152328673074	    2.4171279	    5.7086547	    2.2127603	    2.7451077	    7.4823609	    5.4149504	    3.5205233	    1.9772548	    2.5680410	    2.0408219	    2.1822644	    1.7397033	    1.7818521	    2.5778929	    2.1786192
DDB_G0277303	phesB	pheS, PheRS	phenylalanine-tRNA ligase, beta subunit, phenylalanyl-tRNA synthetase, beta subunit	Q550D2	-0.064524430481899	-0.10961579522	-0.2034469252	 -0.33379028711	0.036946296800272	    2.1332684	    2.4897341	    3.1751351	    6.2748121	    2.9781698	    2.0990221	    9.3379656	   11.2171759	   20.3811461	    1.7144290	    2.9189264	   19.1431592	    2.5243412	    2.5600732	    9.9689487
DDB_G0267428	abcH2	NA	putative non-transporter ABC protein	Q8T664	-0.139302819363731	-0.20996078875	-0.9928799630	 -2.33543204520	0.0371366604453971	  286.1722962	  300.1357516	  312.9437206	  323.4534571	  313.9985882	  326.3310484	  258.8460692	  313.5105718	  282.4736503	  281.9105862	  291.5088980	  266.1045004	  310.6208752	  279.2807813	  271.7339453
DDB_G0287723	DDB_G0287723	NA	Phosphoenolpyruvate carboxylase	Q54JZ3	-0.100562298571564	-0.11430083565	 0.1789584819	  0.14693975155	0.0371366604453971	   19.3420671	   14.4602598	   21.2895700	   16.7088369	   17.5787009	   18.1837390	   12.8296298	   15.8193708	   13.1565896	   12.4955908	   10.5871449	   14.1095957	   10.8435319	   14.2498612	   11.5937323
DDB_G0293328	DDB_G0293328	NA	Cellular nucleic acid-binding protein	Q54BY8	 0.167413658711004	 0.13974522013	 0.3940982269	  0.47010293859	0.037251463106451	  168.6883116	  179.7308110	  157.5449692	  135.5100748	  166.9221565	  172.1868521	  188.9756045	  173.8251817	  204.1275839	  187.9489218	  159.2245983	  158.7258155	  174.8784692	  139.7928932	  169.4523072
DDB_G0275581	DDB_G0275581	NA	NA	Q86H89	-0.361624648607490	 0.32774648718	 0.1868960738	  0.32925790838	0.037251463106451	   58.8027401	   60.8544435	   28.4125617	   51.1309807	   63.8884998	   56.7215031	   56.8177563	   50.2698460	   48.8981791	   35.2894673	   60.2052975	   50.8953695	   64.4259900	   41.2429107	   59.0775778
DDB_G0269400	DDB_G0269400	NA	cellular retinaldehyde-binding/triple function domain-containing protein	Q55E41	-0.369488494628935	-0.22167881522	-1.2105163101	 -1.94134468527	0.037251463106451	  178.0396352	  182.6208535	  165.3060729	  158.3995808	  182.0486313	  179.5005904	  180.2152271	  180.3861513	  174.8944749	  194.3117260	  184.7922513	  187.8047829	  199.5858727	  179.8169043	  205.4700724
DDB_G0279613	DDB_G0279613	ALDH	aldehyde dehydrogenase	Q54WJ9	-0.035429116345926	-0.16450626843	-0.5216703175	 -0.69947010380	0.0376069046953888	  461.0335729	  446.3526575	  400.4284654	  511.3765618	  449.9745497	  454.9047876	  445.2813731	  444.7614461	  427.6289285	  448.3687263	  473.2719889	  475.1869138	  453.1113619	  428.8562521	  447.6978026
DDB_G0287361	ddx41	NA	DEAD/DEAH box helicase, DEAD box protein abstrakt	Q54KG1	-1.471200321298265	-1.10930943830	-0.0329864662	  1.84625800845	0.03766722192163	    6.3167944	   10.5900885	    6.9243814	    2.7739346	   19.2691745	   11.7441078	    2.3979065	    2.4806633	   11.7272464	    8.8317971	    9.6848616	   11.0350907	    8.0543189	    9.7431420	    7.0584284
DDB_G0287689	tubA	tubA1, tubulin alpha chain, alpha tubulin	alpha-tubulin A	P32255	 0.231721680433570	 0.23109916522	 0.4849704516	  0.53097664156	0.0377136173446352	    2.7354205	   11.6284529	   13.5907019	    4.8401611	    2.9246508	    6.1197587	    4.8374806	   10.2513559	    2.2485355	    5.4623964	    5.2196245	    7.3972390	    6.6872973	    3.8559216	    3.8750357
DDB_G0275075	DDB_G0275075	NA	tetratricopeptide-like helical domain-containing protein (TPR)	Q869X1	-0.075508221207295	-0.15774049818	-0.2802487024	 -0.38429135790	0.037741792248284	   56.1500948	   53.7748855	   66.9629587	   59.3755186	   61.5244656	   71.9442859	   47.1631646	   52.3992728	   56.4960571	   51.8608837	   54.2663115	   51.5390106	   61.5004725	   51.3520378	   50.0095987
DDB_G0269762	DDB_G0269762	NA	NA	Q55D72	-0.034771863009624	-0.12764886691	-0.4315072168	 -0.44889767469	0.037741792248284	  388.1942484	  335.5426508	  358.4264521	  310.8159124	  342.3837157	  341.0532726	  301.3968467	  362.6165886	  345.2351604	  339.9262862	  318.9985296	  321.0226869	  362.9522740	  343.9232453	  319.9861420
DDB_G0292600	mdhB	NA	malate dehydrogenase	Q54D04	-0.098953596010150	-0.11523689001	-0.3786169494	 -0.37623478496	0.0381580596570138	   58.0765638	   54.1810102	   63.7852370	   61.8360755	   54.9241478	   48.7220961	   45.3611420	   62.5233333	   52.4768045	   40.6865694	   52.6611861	   41.9260175	   50.3615468	   53.1248298	   45.7546096
DDB_G0272955	DDB_G0272955	NA	putative phytanoyl-CoA dioxygenase	Q559E7	 0.977090420174501	 1.53552498252	 1.9742168657	  3.27657279141	0.0383332478537755	   33.2334418	   28.3638050	   35.4599266	   38.1911018	   31.9424036	   23.9639099	   26.5825796	   36.4107261	   25.8690437	   25.7505930	   24.9943102	   24.0375896	   28.3785174	   28.9760328	   23.0363112
DDB_G0269772	psmB3	NA	proteasome subunit beta type 3, 20S proteasome subunit beta-3	Q55D66	-0.181849138619190	 0.06316307630	 0.3424629554	  0.32615571632	0.0384642700315732	  292.3705844	  289.5706457	  293.7635743	  286.8979891	  310.6842007	  301.2521294	  275.7640012	  301.5103948	  274.2781744	  255.2461883	  280.4639086	  266.7152873	  253.7082899	  275.1562081	  260.8183369
DDB_G0289987	puf118	Pumilio homology domain family member 4	Pumilio-related mRNA-binding protein PUF118	Q54GR0	 0.160907032502406	 0.40507808586	 0.7113412556	  0.59347246612	0.0390600956891419	   16.4688006	   17.0048754	   17.0335931	   18.5848236	   17.8637243	   20.7081514	   11.2167095	   15.4630893	   11.6870266	    5.6586906	    9.2035841	    8.3606061	    7.7610640	    3.5933261	    9.7346007
DDB_G0295715	DDB_G0295715	NA	NOL1/NOP2/Sun family protein	C7G023	 0.057942562076374	-0.19004679714	-0.2008800979	 -0.42274848506	0.0391355196332772	   69.9776134	   66.6044412	   64.2838467	   70.4738201	   70.9365475	   69.4749050	   54.8927654	   65.3779789	   70.5659496	   44.5530742	   46.3425752	   53.7677983	   33.8927738	   49.3253451	   38.1314649
DDB_G0270378	DDB_G0270378	NA	TPR repeat-containing protein, TTC39 family protein, tetratricopeptide repeat protein 39	Q55BT0	 0.708181540572003	-0.23504092781	-1.2503094300	 -0.74118544207	0.0394184285195128	   14.0762601	   12.9292426	    2.5150405	    2.4570071	   35.6660880	   13.4145401	   11.7255979	    2.2599685	    2.2077681	   11.4838657	   13.2387225	   10.3763651	    1.8266437	   13.3880818	   13.4585397
DDB_G0276893	ctxB	FPS1, ctxII, cortexillin II	actin bundling protein cortexillin II	Q550R2	 0.131907540399141	 0.20979185839	 0.3688350726	  0.37261817091	0.0395213373320025	   38.6719023	   32.5803684	   33.0638240	   25.1127158	   31.6353161	   15.2493900	   19.5321900	   34.7459949	   37.6023253	   22.5858886	   26.9275336	   26.0692520	   21.1542077	   20.7212224	   16.7544355
DDB_G0283973	DDB_G0283973	NA	NA	Q54QA4	-0.071279713564601	-0.19593464997	-0.4850282195	 -0.41830923076	0.0395218750600485	   51.3381367	   39.9087871	   47.1822284	   39.7468812	   42.4105664	   36.0253296	   36.0664705	   45.7187453	   45.7619079	   49.6824002	   50.5000064	   43.9386347	   45.8946601	   45.3040813	   44.2786382
DDB_G0290873	gacJJ	racGAP	pleckstrin homology (PH) domain-containing protein, SH3 domain-containing protein, RhoGAP domain-containing protein	Q54FG5	 0.180792677511736	 0.16602607064	 0.3511323725	  0.38355670008	0.0396616976829873	  134.3548727	  126.3196791	  119.2567972	  120.5986531	  119.6217248	  131.6207748	  164.0402905	  127.3711766	  120.4806852	  166.9533833	  121.5062390	  130.6805560	  118.1185753	  145.0575330	  158.0136392
DDB_G0274381	vatP	V-ATPase subunit P	vacuolar ATPase proteolipid subunit	P54642	-0.071750848335625	 0.41702706606	 0.7144590856	  0.93133898284	0.0396938444916005	   18.8964003	   21.7789832	   19.7982712	   18.3959634	   26.1037923	   19.5949873	   25.8805557	   19.2078340	   19.4165346	   18.0124915	   16.4963063	    2.6733715	   16.7248728	   17.1055914	   13.3482786
DDB_G0279435	DDB_G0279435	NA	NA	Q54WU2	-0.242687950491594	-0.10737542635	-0.4755075081	 -0.66067295638	0.0397849480374038	  227.9786341	  244.8097997	  260.2996811	  232.2135945	  267.7745380	  246.2047761	  253.4737796	  243.7382704	  245.8750020	  242.9380665	  229.7546813	  242.3316268	  220.2174276	  229.2766598	  224.4098290
DDB_G0283087	DDB_G0283087	NA	putative cholinesterase, carboxylesterase, type B family protein	Q54RL3	 0.859510644046638	 0.85893844122	-1.3443351261	 -1.40515950288	0.0397849480374038	   38.6642505	   33.8566986	   48.1652502	   41.4810769	   43.8530534	   53.9839270	   33.9134044	   37.6301321	   31.1614958	   20.8169738	   30.2238060	   26.0103589	   11.0010032	   13.9575147	   21.7592584
DDB_G0291650	DDB_G0291650	NA	importin subunit beta-3	Q54EW3	-0.143081589808401	-0.23118263081	-0.2515297831	 -0.32503909210	0.0397849480374038	  152.0423138	  136.6938531	  166.6013419	  197.5361409	  170.2374627	  199.7274480	  122.9596590	  162.3002839	  157.0176177	  128.7052001	  144.5899438	  117.3156796	  132.7535336	  127.0179036	  138.8627256
DDB_G0276863	H4b	NA	histone H4	Q76NW2	 1.032812896316471	 0.67508996944	 0.5976120444	  0.87080898608	0.0397937066690983	   27.2368510	   21.3300093	   24.1165199	   27.1960458	   26.7261332	   20.9925519	   30.3360702	   25.7829089	   26.4615153	   24.9130428	   22.1620543	   21.8218079	   11.9971957	   26.7988689	   16.6221275
DDB_G0267394	vps46	DG1118	SNF7 family protein	O96552	-0.005515248772558	 0.28793372030	 0.1537945885	 -0.18976123942	0.0398587135110937	    4.9667375	   11.8061268	   14.7239717	   16.4516250	   16.1618787	   20.4791162	    1.3838548	    7.1484151	   16.7300524	   10.0034414	   10.5633182	   13.7098591	    2.1388590	    3.5282611	   12.0821518
DDB_G0291800	DDB_G0291800	NA	glutathione-dependent formaldehyde-activating, GFA family protein	B0G191	-0.100129620677531	-0.05294436001	-0.3613990318	 -0.35527535346	0.0405443216828031	   20.7751852	   14.9813315	   14.0901361	   16.9482118	   17.6533623	   20.6716245	   12.2694349	   21.4674912	   19.9754852	   34.9919837	   16.5405441	   18.2394319	   22.4438463	    2.7406948	   17.2116558
DDB_G0272785	DDB_G0272785	NA	acyloxyacyl hydrolase	Q86B07	 0.221767709761574	-0.02524572928	-0.7605242978	 -1.05696678337	0.0405443216828031	    8.5414542	    9.3640030	    3.9123401	   11.5693528	    2.0219798	    9.0695222	    4.1172576	    5.9480746	    5.3511939	    3.1053157	    2.1640313	    1.9140485	    2.6344849	    2.8159499	    2.9627960
